episode: 269, reward: -131, avg_reward: -170, epsilon: 0.73
episode: 270, reward: -93, avg_reward: -167, epsilon: 0.73
episode: 271, reward: -138, avg_reward: -166, epsilon: 0.73
episode: 272, reward: -180, avg_reward: -165, epsilon: 0.73
episode: 273, reward: -74, avg_reward: -163, epsilon: 0.73
episode: 274, reward: -139, avg_reward: -163, epsilon: 0.73
episode: 275, reward: -150, avg_reward: -163, epsilon: 0.72
episode: 276, reward: -167, avg_reward: -163, epsilon: 0.72
episode: 277, reward: -204, avg_reward: -163, epsilon: 0.72
episode: 278, reward: 1, avg_reward: -162, epsilon: 0.72
episode: 279, reward: -194, avg_reward: -162, epsilon: 0.72
episode: 280, reward: -119, avg_reward: -160, epsilon: 0.72
episode: 281, reward: -203, avg_reward: -160, epsilon: 0.72
episode: 282, reward: -196, avg_reward: -161, epsilon: 0.72
episode: 283, reward: -168, avg_reward: -161, epsilon: 0.72
episode: 284, reward: -145, avg_reward: -161, epsilon: 0.72
episode: 285, reward: -59, avg_reward: -159, epsilon: 0.71
episode: 286, reward: -158, avg_reward: -160, epsilon: 0.71
episode: 287, reward: -75, avg_reward: -160, epsilon: 0.71
episode: 288, reward: -217, avg_reward: -158, epsilon: 0.71
episode: 289, reward: -253, avg_reward: -159, epsilon: 0.71
episode: 290, reward: -148, avg_reward: -159, epsilon: 0.71
episode: 291, reward: -88, avg_reward: -158, epsilon: 0.71
episode: 292, reward: -114, avg_reward: -158, epsilon: 0.71
episode: 293, reward: -173, avg_reward: -158, epsilon: 0.71
episode: 294, reward: -187, avg_reward: -159, epsilon: 0.71
episode: 295, reward: -170, avg_reward: -159, epsilon: 0.70
episode: 296, reward: -167, avg_reward: -160, epsilon: 0.70
episode: 297, reward: -100, avg_reward: -160, epsilon: 0.70
episode: 298, reward: -234, avg_reward: -160, epsilon: 0.70
episode: 299, reward: -117, avg_reward: -158, epsilon: 0.70
episode: 300, reward: -130, avg_reward: -158, epsilon: 0.70
episode: 301, reward: -51, avg_reward: -157, epsilon: 0.70
episode: 302, reward: -256, avg_reward: -158, epsilon: 0.70
episode: 303, reward: -176, avg_reward: -159, epsilon: 0.70
episode: 304, reward: -364, avg_reward: -162, epsilon: 0.70
episode: 305, reward: -233, avg_reward: -162, epsilon: 0.69
episode: 306, reward: -68, avg_reward: -161, epsilon: 0.69
episode: 307, reward: -138, avg_reward: -161, epsilon: 0.69
episode: 308, reward: -132, avg_reward: -161, epsilon: 0.69
episode: 309, reward: -187, avg_reward: -162, epsilon: 0.69
episode: 310, reward: -164, avg_reward: -159, epsilon: 0.69
episode: 311, reward: -273, avg_reward: -161, epsilon: 0.69
episode: 312, reward: -282, avg_reward: -163, epsilon: 0.69
episode: 313, reward: -168, avg_reward: -163, epsilon: 0.69
episode: 314, reward: -92, avg_reward: -162, epsilon: 0.69
episode: 315, reward: -99, avg_reward: -161, epsilon: 0.68
episode: 316, reward: -174, avg_reward: -162, epsilon: 0.68
episode: 317, reward: -45, avg_reward: -161, epsilon: 0.68
episode: 318, reward: -133, avg_reward: -160, epsilon: 0.68
episode: 319, reward: -123, avg_reward: -160, epsilon: 0.68
episode: 320, reward: -83, avg_reward: -160, epsilon: 0.68
episode: 321, reward: -161, avg_reward: -160, epsilon: 0.68
episode: 322, reward: -176, avg_reward: -160, epsilon: 0.68
episode: 323, reward: -171, avg_reward: -160, epsilon: 0.68
episode: 324, reward: -105, avg_reward: -157, epsilon: 0.68
episode: 325, reward: -196, avg_reward: -158, epsilon: 0.67
episode: 326, reward: -92, avg_reward: -158, epsilon: 0.67
episode: 327, reward: -114, avg_reward: -159, epsilon: 0.67
episode: 328, reward: -131, avg_reward: -157, epsilon: 0.67
episode: 329, reward: -204, avg_reward: -156, epsilon: 0.67
episode: 330, reward: -275, avg_reward: -157, epsilon: 0.67
episode: 331, reward: -167, avg_reward: -158, epsilon: 0.67
episode: 332, reward: -26, avg_reward: -156, epsilon: 0.67
episode: 333, reward: -116, avg_reward: -156, epsilon: 0.67
episode: 334, reward: -110, avg_reward: -155, epsilon: 0.67
episode: 335, reward: -81, avg_reward: -154, epsilon: 0.66
episode: 336, reward: -148, avg_reward: -154, epsilon: 0.66
episode: 337, reward: -150, avg_reward: -154, epsilon: 0.66
episode: 338, reward: -178, avg_reward: -154, epsilon: 0.66
episode: 339, reward: -137, avg_reward: -153, epsilon: 0.66
episode: 340, reward: -130, avg_reward: -152, epsilon: 0.66
