episode: 254, reward: -208, avg_reward: -202, epsilon: 0.87
episode: 255, reward: -215, avg_reward: -202, epsilon: 0.87
episode: 256, reward: -178, avg_reward: -201, epsilon: 0.87
episode: 257, reward: -150, avg_reward: -201, epsilon: 0.87
episode: 258, reward: -99, avg_reward: -201, epsilon: 0.87
episode: 259, reward: -191, avg_reward: -199, epsilon: 0.87
episode: 260, reward: -340, avg_reward: -199, epsilon: 0.87
episode: 261, reward: -107, avg_reward: -197, epsilon: 0.87
episode: 262, reward: -168, avg_reward: -197, epsilon: 0.87
episode: 263, reward: -233, avg_reward: -197, epsilon: 0.87
episode: 264, reward: -141, avg_reward: -196, epsilon: 0.87
episode: 265, reward: -230, avg_reward: -198, epsilon: 0.87
episode: 266, reward: -68, avg_reward: -195, epsilon: 0.87
episode: 267, reward: -109, avg_reward: -193, epsilon: 0.87
episode: 268, reward: -254, avg_reward: -195, epsilon: 0.87
episode: 269, reward: -240, avg_reward: -193, epsilon: 0.87
episode: 270, reward: -178, avg_reward: -194, epsilon: 0.87
episode: 271, reward: -158, avg_reward: -194, epsilon: 0.86
episode: 272, reward: -153, avg_reward: -194, epsilon: 0.86
episode: 273, reward: -67, avg_reward: -193, epsilon: 0.86
episode: 274, reward: -242, avg_reward: -194, epsilon: 0.86
episode: 275, reward: -136, avg_reward: -194, epsilon: 0.86
episode: 276, reward: -238, avg_reward: -195, epsilon: 0.86
episode: 277, reward: -172, avg_reward: -191, epsilon: 0.86
episode: 278, reward: -120, avg_reward: -191, epsilon: 0.86
episode: 279, reward: -314, avg_reward: -192, epsilon: 0.86
episode: 280, reward: -136, avg_reward: -189, epsilon: 0.86
episode: 281, reward: -177, avg_reward: -188, epsilon: 0.86
episode: 282, reward: -306, avg_reward: -190, epsilon: 0.86
episode: 283, reward: -371, avg_reward: -191, epsilon: 0.86
episode: 284, reward: -110, avg_reward: -190, epsilon: 0.86
episode: 285, reward: -120, avg_reward: -191, epsilon: 0.86
episode: 286, reward: -147, avg_reward: -191, epsilon: 0.86
episode: 287, reward: -118, avg_reward: -191, epsilon: 0.86
episode: 288, reward: -89, avg_reward: -188, epsilon: 0.86
episode: 289, reward: -119, avg_reward: -188, epsilon: 0.86
episode: 290, reward: -201, avg_reward: -188, epsilon: 0.86
episode: 291, reward: -157, avg_reward: -188, epsilon: 0.85
episode: 292, reward: -540, avg_reward: -190, epsilon: 0.85
episode: 293, reward: -328, avg_reward: -191, epsilon: 0.85
